N°;Título;Link
1;Diputados aprobó y giró al Senado el proyecto sobre zonas frías;https://www.ambito.com/politica/diputados/aprobo-y-giro-al-senado-el-proyecto-zonas-frias-n5199916
2;Nuevas restricciones: especialistas recomiendan mantener el sistema de alarma epidemiológica;https://www.ambito.com/politica/coronavirus/nuevas-restricciones-especialistas-recomiendan-mantener-el-sistema-alarma-epidemiologica-n5199769
3;Ciudad: cuáles son las medidas que analizan para flexibilizar las restricciones;https://www.ambito.com/politica/restricciones/caba-cuales-son-las-medidas-que-analiza-larreta-n5200006
4;Alberto Fernández le pidió al INADI que evalué sus dichos sobre la inmigración europea en Argentina;https://www.ambito.com/politica/alberto-fernandez/le-pidio-al-inadi-que-evalue-sus-dichos-la-inmigracion-europea-argentina-n5200024
5;"Sergio Massa: ""Los monotributistas van a pagar menos""";https://www.ambito.com/politica/sergio-massa/los-monotributistas-van-pagar-menos-n5200027
6;Monotributo retroactivo: cuáles son los cambios que propone el nuevo proyecto de ley;https://www.ambito.com/politica/monotributo/retroactivo-cuales-son-los-cambios-que-propone-el-nuevo-proyecto-ley-n5199673
7;El show del diputado José Luis Ramón y su frazada al defender el proyecto de zonas frías;https://www.ambito.com/politica/diputados/el-show-del-diputado-jose-luis-ramon-y-su-frazada-al-defender-el-proyecto-zonas-frias-n5200031
8;Advierten que la suba en precio internacional de alimentos no se trasladó a inflación en otros países de la región;https://www.ambito.com/economia/inflacion/advierten-que-la-suba-precio-internacional-alimentos-no-se-traslado-otros-paises-la-region-n5200010
9;Clave para comercios: bancos deberán reducir el plazo de liquidación de pagos con tarjetas de crédito;https://www.ambito.com/economia/bancos/clave-comercios-deberan-reducir-el-plazo-liquidacion-pagos-tarjetas-credito-n5199981
10; Coronavirus: reportan 669 muertes y 27.628 nuevos casos en 24 horas ;https://www.ambito.com/informacion-general/covid-19/cuantos-casos-coronavirus-hay-hoy-la-argentina-n5176993
11;"Daniel Scioli: ""El pedido de disculpas del Presidente dio por terminado el tema""";https://www.ambito.com/politica/daniel-scioli/el-pedido-disculpas-del-presidente-dio-terminado-el-tema-n5200009
12;Guzmán alentó a unicornios y líderes del software;https://www.ambito.com/economia/software/guzman-alento-unicornios-y-lideres-del-n5200017
13;El dólar blue rebotó y se redujo la brecha con el MEP a mínimos en dos semanas;https://www.ambito.com/finanzas/dolar/blue-hoy-cuanto-cerro-este-jueves-10-junio-n5199751
14;"Alberto Fernández, sobre Malvinas: ""Es la diplomacia la que debe llevarnos a recuperar esas tierras""";https://www.ambito.com/politica/alberto-fernandez/malvinas-es-la-diplomacia-la-que-debe-llevarnos-recuperar-esas-tierras-n5199977
15;El dólar CCL ya registra la racha bajista más larga en 7 meses;https://www.ambito.com/finanzas/dolar/el-ccl-ya-registra-la-racha-bajista-mas-larga-7-meses-n5199897
16;Diputados postergó el tratamiento de la ley de emergencia Covid;https://www.ambito.com/politica/diputados/postergo-el-tratamiento-la-ley-emergencia-covid-n5199739
17;FMI, sin fecha para una misión a la Argentina ni para un acuerdo;https://www.ambito.com/economia/fmi/fecha-una-mision-la-argentina-ni-un-acuerdo-n5199850
18;Selección: Scaloni dio a conocer la lista para la Copa América ;https://www.ambito.com/deportes/seleccion-argentina/scaloni-dio-conocer-la-lista-la-copa-america-2021-brasil-n5199795
19;Dady Brieva fue internado de urgencia;https://www.ambito.com/espectaculos/dady-brieva/fue-internado-urgencia-n5199911
20;"Coco Sily le contestó a Fernando Iglesias: ""Solo genera daño con noticias falsas""";https://www.ambito.com/informacion-general/radio-10/coco-sily-le-contesto-fernando-iglesias-solo-genera-dano-noticias-falsas-n5199933
21;Nación trabaja en un aumento del 30% en los subsidios al transporte de pasajeros extra AMBA;https://www.ambito.com/nacional/transporte/nacion-trabaja-un-aumento-del-30-los-subsidios-al-pasajeros-extra-amba-n5199941
22;Las acciones de YPF sostuvieron al S&P Merval en la senda positiva;https://www.ambito.com/finanzas/sp-merval/el-se-mantuvo-la-senda-positiva-gracias-las-acciones-ypf-n5199848
23;Fuerte medida del Gobierno para aliviar a los monotributistas;https://www.ambito.com/economia/monotributo/fuerte-medida-del-gobierno-aliviar-los-monotributistas-n5199749
24;Diputados convirtió en ley el Consenso Fiscal 2020;https://www.ambito.com/politica/consenso-fiscal/diputados-convirtio-ley-el-2020-n5199952
25;Qué países encabezan el ranking de ganancias a través de Bitcoin;https://www.ambito.com/finanzas/bitcoin/que-paises-encabezan-el-ranking-ganancias-traves-n5199902
26;Salta el Bitcoin, pero con pronóstico incierto;https://www.ambito.com/finanzas/criptomonedas/el-bitcoin-cayo-mas-1-y-su-pronostico-sigue-incierto-n5199759
27;En qué invierte George Soros: conocé su cartera de acciones;https://www.ambito.com/finanzas/george-soros/en-que-invierte-conoce-su-cartera-acciones-n5199880
28;Elecciones en Perú y México, con impacto regional;https://www.ambito.com/secciones-especiales/charlas-quincho/-n5198762
29;Semana clave para la política;https://www.ambito.com/politica/charlas-quincho/semana-clave-la-n5198775
30;Sigue alterado el clima electoral local;https://www.ambito.com/politica/charlas-quincho/sigue-alterado-el-clima-electoral-local-n5198776
31;Vacunación: llegará al país casi un millón de dosis de AstraZeneca;https://www.ambito.com/informacion-general/vacunas/vacunacion-llegara-al-pais-casi-un-millon-dosis-astrazeneca-n5199972
32;El G7 donará 1.000 millones de vacunas contra el Covid-19 a países pobres;https://www.ambito.com/mundo/vacunas/el-g7-donara-1000-millones-contra-el-covid-19-paises-pobres-n5199995
33;Covid-19: aclaran que no hay nuevos casos de la variante Delta;https://www.ambito.com/informacion-general/covid-19/aclaran-que-no-hay-nuevos-casos-la-variante-delta-n5199822
34;Coronavirus: ¿qué se sabe de la variante Delta?;https://www.ambito.com/informacion-general/coronavirus/que-se-sabe-la-variante-delta-n5199904
35;Argentina no recibirá vacunas de las 500 millones que donará EEUU;https://www.ambito.com/informacion-general/covid-19/argentina-no-recibira-vacunas-las-500-millones-que-donara-joe-biden-n5199874
36;Una de cada dos personas de entre 55 y 59 años fue vacunada con una dosis;https://www.ambito.com/informacion-general/coronavirus/una-cada-dos-personas-55-y-59-anos-fue-vacunada-una-dosis-n5199927
37;"Affronti: ""Nuestro objetivo es consolidar la eficiencia lograda para impulsar aún más la producción""";https://www.ambito.com/economia/ypf/affronti-nuestro-objetivo-es-consolidar-la-eficiencia-lograda-impulsar-aun-mas-la-produccion-n5199708
38;La OPEP prevé que habrá una aceleración de la demanda de petróleo en el segundo semestre;https://www.ambito.com/energia/petroleo/la-opep-preve-que-habra-una-aceleracion-la-demanda-el-segundo-semestre-n5199975
39;Avanza el proyecto de energía termosolar-fotovoltaico entre Jujuy y Río Negro;https://www.ambito.com/politica/energia/avanza-el-proyecto-termosolar-fotovoltaicoentre-jujuy-y-rio-negro-n5199966
40;YPF y Desarrollo Productivo lanzaron programa para potenciar las pymes nacionales;https://www.ambito.com/negocios/ypf/y-desarrollo-productivo-lanzaron-programa-potenciar-las-pymes-nacionales-n5199854
41;WhatsApp podrá usarse en cuatro dispositivos a la vez;https://www.ambito.com/informacion-general/whatsapp/podra-usarse-cuatro-dispositivos-la-vez-n5199776
42;TikTok lanza su primer festival de música en Latinoamérica;https://www.ambito.com/espectaculos/tiktok/lanza-su-primer-festival-musica-latinoamerica-n5199976
43;Grace, el nuevo robot que atiende pacientes de Covid-19;https://www.ambito.com/informacion-general/covid-19/grace-el-nuevo-robot-que-atiende-pacientes-n5199890
44;Facebook empieza a dejar atrás la pandemia y reabrirá todas sus oficinas en EEUU;https://www.ambito.com/negocios/facebook/empieza-dejar-atras-la-pandemia-y-reabrira-todas-sus-oficinas-eeuu-n5199819
45;Microsoft prepara videojuegos de Xbox en televisores inteligentes y plataformas de streaming;https://www.ambito.com/tecnologia/videojuegos/microsoft-prepara-xbox-televisores-inteligentes-y-plataformas-streaming-n5199853
46;WhatsApp anunció qué pasará con los que no acepten sus términos y condiciones en Argentina;https://www.ambito.com/informacion-general/whatsapp/anuncio-que-pasara-los-que-no-acepten-sus-terminos-y-condiciones-argentina-n5199431
47;"Aníbal Fernández cruzó a Prat Gay: ""Este señor es el de las tres pizzas""";https://www.ambito.com/politica/alfonso-prat-gay/anibal-fernandez-cruzo-prat-gay-este-senor-es-el-las-tres-pizzas-n5199887
48;Un personaje digital NFT se vendió por u$s11,7 millones;https://www.ambito.com/mundo/tecnologia/un-personaje-digital-nft-se-vendio-us117-millones-n5199960
49; He-Man regresa a la pantalla con una nueva serie de Netflix ;https://www.ambito.com/espectaculos/netflix/he-man-regresa-la-pantalla-una-nueva-serie-n5199956
50;Florencia Peña se quebró al recordar la filtración de su video íntimo;https://www.ambito.com/espectaculos/television/florencia-pena-se-quebro-al-recordar-la-filtracion-su-video-intimo-n5199938
51;Pampita amenaza con dejar Showmatch si se suma Alex Caniggia;https://www.ambito.com/espectaculos/television/pampita-amenaza-dejar-showmatch-si-se-suma-alex-caniggia-n5199804
52;Corrientes: las elecciones a gobernador serán el 29 de agosto;https://www.ambito.com/politica/corrientes/las-elecciones-gobernador-seran-el-29-agosto-n5200014
53;Sin retroactivo, como quedarían las escalas del Monotributo;https://www.ambito.com/economia/monotributo/sin-retroactivo-como-quedarian-las-escalas-del-n5199926
54;La UIA e industriales brasileños acordaron una agenda bilateral con eje en el Mercosur;https://www.ambito.com/negocios/mercosur/la-uia-e-industriales-brasilenos-acordaron-una-agenda-bilateral-eje-el-n5199989
55;Imputaron a Peugeot en Francia por el dieselgate;https://www.ambito.com/negocios/autos/imputaron-peugeot-francia-el-dieselgate-n5199998
56;Créditos UVA: fallo impone límite al valor de una cuota del Banco Ciudad ;https://www.ambito.com/informacion-general/banco-ciudad/creditos-uva-fallo-impone-limite-al-valor-una-cuota-del-n5199969
57;S&P 500 tocó récord máximo mientras Wall Street obvia alto dato de inflación;https://www.ambito.com/finanzas/wall-street/sp-500-toco-record-maximo-mientras-obvia-alto-dato-inflacion-n5199781
58;"GameStop y otras ""acciones meme"" se desplomaron hasta 27% tras anotar subas abruptas";https://www.ambito.com/negocios/gamestop/y-otras-acciones-meme-se-desplomaron-27-anotar-subas-abruptas-n5199928
59;La soja perdió pero el maíz subió a máximos de un mes tras estimación de inventarios en EEUU;https://www.ambito.com/finanzas/soja/la-perdio-pero-el-maiz-subio-maximos-un-mes-estimacion-inventarios-eeuu-n5199947
60;Dengue: Un revolucionario experimento con mosquitos transmisores logró reducir los casos de contagio en un 77%;https://docsalud.com/clinica/dengue-un-revolucionario-experimento-con-mosquitos-transmisores-logro-reducir-los-casos-de-contagio-en-un-77/1010938
61;Expertos descubren que el coronavirus es una enfermedad vascular y no respiratoria;https://docsalud.com/covid-19/expertos-descubren-que-el-coronavirus-es-una-enfermedad-vascular-y-no-respiratoria/1010941
62;Así se vio el eclipse solar en el hemisferio norte;https://www.ambito.com/informacion-general/ciencia/asi-se-vio-el-eclipse-solar-el-hemisferio-norte-n5199796
63;Suscribite al newsletter de Ámbito;https://www.ambito.com/economia/finanzas/suscribite-al-newsletter-ambito-n5108585
64;El virus de nuestra próxima crisis es el atraso cambiario;https://www.ambito.com/opiniones/inflacion/el-virus-nuestra-proxima-crisis-es-el-atraso-cambiario-n5199473
65;Lo que no debe hacer el Gobierno si quiere evitar un verdadero disparate económico;https://www.ambito.com/opiniones/economia/lo-que-no-debe-hacer-el-gobierno-si-quiere-evitar-un-verdadero-disparate-economico-n5199485
66;"Revival del ""segundo semestre"": qué expectativas existen para el final del 2021";https://www.ambito.com/opiniones/deficit-fiscal/revival-del-segundo-semestre-que-expectativas-existen-el-final-del-2021-n5199517
67;Diálogos de Wall Street;https://www.ambito.com/economia/wall-street/dialogos-n5199381
68;¿Por qué suben las acciones argentinas?;https://www.ambito.com/opiniones/acciones-argentinas/por-que-suben-las-n5198710
69;AMC: u$s 100.000 millones en una semana;https://www.ambito.com/opiniones/amc/us-100000-millones-una-semana-n5198704
70;Una encuesta global revela datos alentadores de recuperación económica;https://www.ambito.com/economia/wall-street/la-se-acelera-y-lleva-el-empleo-la-rastra-records-n5198733
71;Brotes verdes para el mercado local ;https://www.ambito.com/opiniones/mercado/brotes-verdes-el-local-n5198376
72;Mauricio Macri tuiteó sobre la frase de Alberto Fernández;https://www.ambito.com/politica/mauricio-macri/tuiteo-la-frase-alberto-fernandez-n5199906
73;Monotributo retroactivo: qué pasa si ya pagaste la deuda;https://www.ambito.com/economia/monotributo/retroactivo-que-pasa-si-ya-pagaste-la-deuda-n5199930
74;Gabinete económico: 35.000 empresas recibieron asistencia vía Repro II;https://www.ambito.com/economia/repro/gabinete-economico-35000-empresas-recibieron-asistencia-via-ii-n5200000
75;Alberto Fernández reconoció a Pedro Castillo como nuevo presidente de Perú;https://www.ambito.com/politica/peru/alberto-fernandez-reconocio-pedro-castillo-como-nuevo-presidente-n5199909
76;Perú: piden la prisión preventiva para Keiko Fujimori por corrupción;https://www.ambito.com/mundo/keiko-fujimori/peru-piden-la-prision-preventiva-corrupcion-n5199837
77;Correo Argentino: confirman la intervención de la empresa a pesar la maniobra los Macri;https://www.ambito.com/politica/correo-argentino/confirman-la-intervencion-la-empresa-pesar-la-maniobra-los-macri-n5199840
78;Elecciones: la Cámara exige la vacunación de las autoridades de mesa;https://www.ambito.com/politica/elecciones-2021/elecciones-la-camara-exige-la-vacunacion-las-autoridades-mesa-n5199910
79;Del Caño renunció a su banca y asumió Mónica Schlotthauer ;https://www.ambito.com/politica/diputados/del-cano-renuncio-su-banca-y-asumio-monica-schlotthauer-n5199936
80;El dólar blue rebotó y se redujo la brecha con el MEP a mínimos en dos semanas;https://www.ambito.com/finanzas/dolar/blue-hoy-cuanto-cerro-este-jueves-10-junio-n5199751
81;Dady Brieva fue internado de urgencia;https://www.ambito.com/espectaculos/dady-brieva/fue-internado-urgencia-n5199911
82;La peligrosa cepa Delta del Covid-19 llegó a Sudamérica;https://www.ambito.com/mundo/peru/la-peligrosa-cepa-delta-del-covid-19-llego-sudamerica-n5199765
83;"Aníbal Fernández cruzó a Prat Gay: ""Este señor es el de las tres pizzas""";https://www.ambito.com/politica/alfonso-prat-gay/anibal-fernandez-cruzo-prat-gay-este-senor-es-el-las-tres-pizzas-n5199887
84;El tenso cruce entre Fernando Iglesias y Leandro Santoro;https://www.ambito.com/politica/pandemia/el-tenso-cruce-fernando-iglesias-y-leandro-santoro-n5199761
85;Se juega: la Corte Suprema de Brasil avaló la organización de la Copa América;https://www.ambito.com/deportes/copa-america/la-corte-suprema-brasil-avalo-la-organizacion-la-n5199982
86;Atento Scaloni: Uruguay y Chile confirmaron sus listas para la Copa América;https://www.ambito.com/deportes/uruguay/atento-scaloni-y-chile-confirmaron-sus-listas-la-copa-america-n5199934
87;Inter Miami va a la carga por Lionel Messi;https://www.ambito.com/deportes/messi/inter-miami-va-la-carga-lionel-n5199802
88;Tarjeta Alimentar de ANSES: dónde retirar el plástico si no te llegó;https://www.ambito.com/informacion-general/tarjeta-alimentar/anses-donde-retirar-el-plastico-si-no-te-llego-n5199967
89;La Rioja: acusado de sextorsión fue condenado a 5 años de prisión;https://www.ambito.com/la-rioja/acusado-sextorsion-fue-condenado-5-anos-prision-n5199937
90;Programa Hogar de ANSES: fecha de cobro en junio 2021;https://www.ambito.com/informacion-general/anses/programa-hogar-fecha-cobro-junio-2021-n5199866
91;AUE de ANSES: cuándo se cobra y cuál es el monto de la Asignación Universal por Embarazo;https://www.ambito.com/informacion-general/anses/aue-cuando-se-cobra-y-cual-es-el-monto-la-asignacion-universal-embarazo-n5199839
92;Fin de una leyenda: se retira Abreu después de 26 años;https://www.ambito.com/deportes/abreu/fin-una-leyenda-se-retira-despues-26-anos-n5200011
93;La Copa América perdió patrocinadores pese a su confirmación;https://www.ambito.com/deportes/copa-america/la-perdio-patrocinadores-pese-su-confirmacion-n5200018
94;Serie A: Pastore busca dejar la Roma y un DT argentino sueña con él;https://www.ambito.com/deportes/roma/serie-a-pastore-busca-dejar-la-y-un-dt-argentino-suena-el-n5199865
95;Boca cerró su primer refuerzo: ¿Quién es el 9 que eligió el Consejo de Riquelme?;https://www.ambito.com/deportes/nicolas-orsini/boca-cerro-su-primer-refuerzo-quien-es-el-9-que-eligio-el-consejo-riquelme-n5199914
96;Sampaoli viene a la carga por Pavón y habría hecho una oferta por el 50%;https://www.ambito.com/deportes/boca/sampaoli-viene-la-carga-pavon-y-habria-hecho-una-oferta-el-50-n5199817
97;Empieza la Eurocopa 2021: una edición especial con once sedes y el regreso del público;https://www.ambito.com/deportes/eurocopa/empieza-la-2021-una-edicion-especial-once-sedes-y-el-regreso-del-publico-n5199908
98;El cantante Diego El Cigala fue detenido en Madrid tras ser acusado por violencia de género;https://www.ambito.com/espectaculos/violencia-genero/el-cantante-diego-el-cigala-fue-detenido-madrid-ser-acusado-n5199793
99;Puerto Madryn: tres buques pesqueros fondeados en aislamiento por casos de Covid-19;https://www.ambito.com/nacional/coronavirus/puerto-madryn-tres-buques-pesqueros-fondeados-aislamiento-casos-covid-19-n5199844
100;La pandemia del Covid-19 redujo la producción mundial de plástico ;https://www.ambito.com/informacion-general/plasticos/la-pandemia-del-covid-19-redujo-la-produccion-mundial-plastico-n5199799
101;El 32% de los hogares argentinos no tiene conexión fija a internet;https://www.ambito.com/informacion-general/internet/el-32-los-hogares-argentinos-no-tiene-conexion-fija-n5199860
102;Para pocos: solo quedan 6 modelos de autos por debajo de $1.500.000;https://www.ambito.com/economia/autos/para-pocos-solo-quedan-6-modelos-debajo-1500000-n5199732
103;Un motor que no arranca: el salario real caerá al nivel del 2003;https://www.ambito.com/economia/salario/un-motor-que-no-arranca-el-real-caera-al-nivel-del-2003-n5199702
104;El BICE presentó herramientas de financiamiento para la construcción;https://www.ambito.com/economia/construccion/el-bice-presento-herramientas-financiamiento-la-n5199970
105;Deuda: Guzmán captó amplio fondeo (señal de cara a tercer trimestre);https://www.ambito.com/economia/deuda/guzman-capto-amplio-fondeo-senal-cara-tercer-trimestre-n5199686
106;Entretelones de la pelea en la UIA;https://www.ambito.com/politica/uia/entretelones-la-pelea-la-n5199531
107;Dólar futuro: cae expectativa de devaluación;https://www.ambito.com/economia/dolar/futuro-cae-expectativa-devaluacion-n5199400
108;Alberto Fernández volvió a referirse a sus dichos sobre el origen de los pueblos latinoamericanos;https://www.ambito.com/politica/alberto-fernandez/volvio-referirse-sus-dichos-el-origen-los-pueblos-latinoamericanos-n5199782
109;"Herrera Ahuad: ""Misiones respalda a la Nación en la compra de vacunas""";https://www.ambito.com/nacional/oscar-herrera-ahuad/herrera-ahuad-misiones-respalda-la-nacion-la-compra-vacunas-n5199814
110;Bolsonaro comparó a Alberto con Maduro por sus dichos sobre el origen de los pueblos latinoamericanos;https://www.ambito.com/politica/jair-bolsonaro/comparo-alberto-fernandez-maduro-sus-dichos-el-origen-los-pueblos-latinoamericanos-n5199921
111;Horacio Rodríguez Larreta se vacunó contra el Covid-19;https://www.ambito.com/politica/covid-19/horacio-rodriguez-larreta-se-vacuno-contra-el-n5199800
112;"Nicolás Massot: ""Juntos por el Cambio tiene que utilizar las PASO para dirimir el liderazgo""";https://www.ambito.com/politica/nicolas-massot/juntos-el-cambio-tiene-que-utilizar-las-paso-dirimir-el-liderazgo-n5199845
113;"""Soy Sabalero"": Los Palmeras y Colón llegaron a la TV española";https://www.ambito.com/espectaculos/colon/soy-sabalero-los-palmeras-y-llegaron-la-tv-espanola-n5199835
114;El jugador que quiere Riquelme fue filmado en una fiesta con mujeres y sin cuidados sanitarios;https://www.ambito.com/deportes/boca/roger-martinez-el-goleador-que-quiere-filmado-una-fiesta-mujeres-y-protocolos-n5199876
115;Dura derrota del Denver, con Facundo Campazzo, que está abajo en la serie ante Phoenix;https://www.ambito.com/deportes/campazzo/dura-derrota-del-denver-facundo-que-esta-abajo-la-serie-phoenix-n5199832
116;Pese al fallo favorable del TAS, San Lorenzo deberá pagar una millonada por Paulo Díaz;https://www.ambito.com/deportes/san-lorenzo/pese-al-fallo-favorable-del-tas-debera-pagar-una-millonada-paulo-diaz-n5199707
117;Tras  más de un año de inactividad, Los Pumitas vuelven al ruedo;https://www.ambito.com/deportes/los-pumitas/tras-mas-un-ano-inactividad-vuelven-al-ruedo-n5199672
118;Los jugadores de Brasil blanquearon su postura y criticaron que se organice la Copa América;https://www.ambito.com/deportes/copa-america/los-jugadores-brasil-blanquearon-su-postura-y-criticaron-que-se-organice-la-n5199491
